sex|3|5|10|25|50|75|90|95|97
male|197.5|47.37223|48.89609|51.43062|56.26158|62.72809|70.74445|79.78509|86.30392|91.0979
male|198.5|47.66815|49.19189|51.72656|56.55935|63.03228|71.06433|80.13483|86.68415|91.50571
male|199.5|47.95687|49.48044|52.0152|56.84971|63.32892|71.37652|80.47676|87.05657|91.90578
male|200.5|48.23819|49.76158|52.29642|57.13261|63.61802|71.68103|80.81082|87.42099|92.29779
male|201.5|48.51195|50.03518|52.57011|57.408|63.89959|71.97788|81.13696|87.77725|92.68144
male|202.5|48.778|50.30112|52.8362|57.67589|64.17367|72.26711|81.45512|88.12516|93.05643
male|203.5|49.03625|50.55931|53.09465|57.93627|64.44032|72.54879|81.76528|88.46456|93.42244
male|204.5|49.28662|50.80971|53.34544|58.18918|64.69961|72.82297|82.06741|88.79528|93.77917
male|205.5|49.52905|51.05229|53.58858|58.43468|64.95165|73.08975|82.3615|89.11718|94.12633
male|206.5|49.76354|51.28706|53.82409|58.67285|65.19653|73.34922|82.64755|89.43011|94.46364
male|207.5|49.9901|51.51404|54.05205|58.9038|65.4344|73.60152|82.92558|89.73396|94.79081
male|208.5|50.2088|51.73333|54.27255|59.12764|65.6654|73.84675|83.1956|90.02861|95.10761
male|209.5|50.4197|51.94499|54.4857|59.34454|65.8897|74.08507|83.45768|90.31396|95.41379
male|210.5|50.62293|52.14918|54.69165|59.55466|66.10749|74.31664|83.71185|90.58994|95.70913
male|211.5|50.81862|52.34603|54.89058|59.75819|66.31897|74.54164|83.9582|90.85649|95.99346
male|212.5|51.00695|52.53572|55.08267|59.95536|66.52437|74.76024|84.19682|91.11358|96.26661
male|213.5|51.18811|52.71847|55.26814|60.14639|66.7239|74.97267|84.42781|91.3612|96.52847
male|214.5|51.36232|52.8945|55.44723|60.33153|66.91784|75.17912|84.6513|91.59938|96.77894
male|215.5|51.52982|53.06406|55.6202|60.51105|67.10642|75.37983|84.86744|91.82817|97.01799
male|216.5|51.69086|53.2274|55.78731|60.68521|67.28993|75.57503|85.0764|92.04765|97.24564
male|217.5|51.84574|53.38481|55.94884|60.85431|67.46863|75.76499|85.27837|92.25795|97.46194
male|218.5|51.99472|53.53657|56.10508|61.01862|67.64281|75.94994|85.47356|92.45925|97.66704
male|219.5|52.13808|53.68296|56.25633|61.17846|67.81277|76.13018|85.66221|92.65175|97.86111
male|220.5|52.27612|53.82428|56.40286|61.33409|67.97877|76.30597|85.8446|92.83572|98.04443
male|221.5|52.40911|53.96079|56.54495|61.4858|68.14111|76.47759|86.02101|93.01148|98.21733
male|222.5|52.53731|54.09278|56.68288|61.63386|68.30005|76.64533|86.19177|93.17941|98.38026
male|223.5|52.66098|54.22046|56.81689|61.77851|68.45585|76.80948|86.35725|93.33994|98.53375
male|224.5|52.78032|54.34408|56.94719|61.91997|68.60872|76.97031|86.51781|93.49361|98.67844
male|225.5|52.89553|54.46381|57.07396|62.05842|68.75889|77.12809|86.6739|93.64099|98.81509
male|226.5|53.00674|54.57977|57.19732|62.19399|68.90653|77.2831|86.82597|93.78276|98.94455
male|227.5|53.11402|54.69205|57.31737|62.32678|69.05176|77.4356|86.97452|93.91968|99.06786
male|228.5|53.21739|54.80066|57.43409|62.4568|69.19467|77.5858|87.12008|94.05261|99.18615
male|229.5|53.31679|54.90552|57.54742|62.58399|69.33527|77.73392|87.26324|94.18252|99.30075
male|230.5|53.41207|55.00648|57.6572|62.70822|69.47351|77.88014|87.40462|94.31046|99.41315
male|231.5|53.50297|55.10328|57.76315|62.82922|69.60926|78.02461|87.54488|94.43765|99.52501
male|232.5|53.58913|55.19552|57.86488|62.94664|69.74228|78.16742|87.68474|94.5654|99.63819
male|233.5|53.67003|55.2827|57.96187|63.06|69.87224|78.30863|87.82495|94.69517|99.75477
male|234.5|53.74501|55.36413|58.05343|63.16863|69.99869|78.44824|87.96634|94.82857|99.87706
male|235.5|53.81325|55.43897|58.13869|63.27175|70.12104|78.58618|88.10976|94.96735|100.0076
male|236.5|53.87373|55.50617|58.21662|63.36835|70.23857|78.72234|88.25614|95.11344|100.1492
male|237.5|53.92519|55.56447|58.28594|63.45727|70.3504|78.8565|88.40645|95.26894|100.3048
male|238.5|53.96614|55.61236|58.34515|63.53709|70.45546|78.98839|88.56175|95.43613|100.4779
male|239.5|53.99482|55.64807|58.39247|63.60618|70.55252|79.11762|88.72311|95.61749|100.6721
male|240|54.00392|55.66071|58.41105|63.63611|70.59761|79.18111|88.80644|95.71431|100.7784
female|24|9.985668|10.21027|10.57373|11.23357|12.05504|12.98667|13.93766|14.56636|15.00156
female|24.5|10.04881|10.27483|10.64076|11.30567|12.13456|13.07613|14.03902|14.67659|15.11839
female|25.5|10.17173|10.40066|10.77167|11.44697|12.29102|13.25293|14.24017|14.89587|15.35122
female|26.5|10.29079|10.52274|10.89899|11.58501|12.44469|13.42753|14.43984|15.11428|15.58363
female|27.5|10.40664|10.64171|11.02338|11.72047|12.59622|13.60059|14.63873|15.33249|15.81632
female|28.5|10.5199|10.75819|11.14545|11.85392|12.74621|13.77271|14.83743|15.55113|16.0499
female|29.5|10.63112|10.87273|11.26575|11.98592|12.89517|13.9444|15.03646|15.7707|16.28491
female|30.5|10.74078|10.98581|11.38474|12.11692|13.04357|14.11611|15.23626|15.99164|16.52176
female|31.5|10.84935|11.09789|11.50288|12.24735|13.19181|14.28823|15.43719|16.21432|16.76085
female|32.5|10.95722|11.20934|11.62054|12.37757|13.34023|14.46106|15.63957|16.43904|17.00245
female|33.5|11.06475|11.32054|11.73806|12.50791|13.48913|14.63491|15.84365|16.66605|17.24681
female|34.5|11.17225|11.43177|11.85574|12.63865|13.63877|14.80998|16.04963|16.89553|17.49412
female|35.5|11.28|11.54332|11.97384|12.77001|13.78937|14.98647|16.25767|17.12762|17.7445
female|36.5|11.38824|11.65542|12.09259|12.90222|13.94108|15.16452|16.46789|17.36244|17.99807
female|37.5|11.49718|11.76826|12.21216|13.03542|14.09407|15.34425|16.68038|17.60006|18.25487
female|38.5|11.607|11.88202|12.33273|13.16977|14.24844|15.52574|16.89519|17.8405|18.51494
